cnes_codigo,cod_cep,cep_limpo,codufmun,municipio_codigo_6,uf_codigo,tp_unid,tpgestao,esfera_a,nat_jur,competen,cep_valido,municipio_valido,uf_valida,spatial_resolution_available,spatial_resolution_target,fallback_rule,cnes_competencia,source_system,lookup_scope,latitude,longitude,spatial_resolution_final,spatial_source,geocode_quality,municipio_nome,uf_sigla,uf_nome
0113115,24445370,24445370,330490,330490,33,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,São Gonçalo,RJ,Rio de Janeiro
0113964,52010140,52010140,261160,261160,26,05,M,M,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0570303,-34.8995593,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0131237,24812222,24812222,330190,330190,33,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.7496375,-42.8732256,cep,nominatim_cep,aproximado_por_cep,Itaboraí,RJ,Rio de Janeiro
0136581,57083410,57083410,270430,270430,27,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Maceió,AL,Alagoas
0144991,35524272,35524272,314520,314520,31,73,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Nova Serrana,MG,Minas Gerais
0161438,04916000,04916000,355030,355030,35,05,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.688486,-46.7525396,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0179817,68181010,68181010,150360,150360,15,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-4.2757344,-55.9898602,cep,nominatim_cep,aproximado_por_cep,Itaituba,PA,Pará
0181927,99999999,99999999,430930,430930,43,05,E,E,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-29.1536887,-51.1933753,cep,nominatim_cep,aproximado_por_cep,Guaíba,RS,Rio Grande do Sul
0183229,62327460,62327460,231340,231340,23,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Tianguá,CE,Ceará
0203416,07095005,07095005,351880,351880,35,36,M,M,2062,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Guarulhos,SP,São Paulo
