cnes_codigo,cod_cep,cep_limpo,cep_valido,codufmun,municipio_codigo_6,municipio6_valido,uf_codigo,uf_valida,spatial_resolution_potencial,TP_UNID,TPGESTAO,ESFERA_A,NAT_JUR,COMPETEN
7354568,65962000,65962000,True,210547,210547,True,21,True,cep,05,M,M,1244,202601
7354746,23934055,23934055,True,330010,330010,True,33,True,cep,05,M,M,1155,202601
7357079,05411001,05411001,True,355030,355030,True,35,True,cep,05,M,M,2062,202601
7366108,39401222,39401222,True,314330,314330,True,31,True,cep,05,M,M,3069,202601
7368704,18270240,18270240,True,355400,355400,True,35,True,cep,05,M,M,2143,202601
7371349,11349000,11349000,True,355100,355100,True,35,True,cep,05,M,M,1244,202601
7373120,77015558,77015558,True,172100,172100,True,17,True,cep,05,D,D,2054,202601
7373465,09850550,09850550,True,354870,354870,True,35,True,cep,05,M,M,1244,202601
7381158,62880081,62880081,True,230523,230523,True,23,True,cep,73,M,M,1244,202601
7382294,78450206,78450206,True,510622,510622,True,51,True,cep,73,M,M,1244,202601
7385293,45023325,45023325,True,293330,293330,True,29,True,cep,22,M,M,3077,202601
7389051,35661000,35661000,True,314710,314710,True,31,True,cep,73,M,M,2143,202601
7389272,62370000,62370000,True,231230,231230,True,23,True,cep,73,M,M,1244,202601
7393385,83005430,83005430,True,412550,412550,True,41,True,cep,04,M,M,2062,202601
7393539,77720000,77720000,True,171050,171050,True,17,True,cep,72,M,M,1015,202601
7395280,45810000,45810000,True,292530,292530,True,29,True,cep,73,M,M,1244,202601
7396805,62674000,62674000,True,231240,231240,True,23,True,cep,73,M,M,1244,202601
7399626,62903390,62903390,True,231180,231180,True,23,True,cep,73,M,M,1244,202601
7400926,19013050,19013050,True,354140,354140,True,35,True,cep,07,E,E,3069,202601
7404700,28948834,28948834,True,330520,330520,True,33,True,cep,73,E,E,1023,202601
7404786,83190991,83190991,True,412760,412760,True,41,True,cep,01,M,M,1244,202601
7408765,59070200,59070200,True,240810,240810,True,24,True,cep,73,M,M,1031,202601
7409354,15775037,15775037,True,354660,354660,True,35,True,cep,73,M,M,1244,202601
7410042,63705774,63705774,True,230410,230410,True,23,True,cep,73,M,M,1244,202601
7413637,48410000,48410000,True,290780,290780,True,29,True,cep,02,M,M,1244,202601
7417659,35164200,35164200,True,313130,313130,True,31,True,cep,73,M,M,1244,202601
7419147,29151055,29151055,True,320130,320130,True,32,True,cep,73,M,M,1244,202601
7421710,20735040,20735040,True,330455,330455,True,33,True,cep,05,M,M,2054,202601
7427549,25011090,25011090,True,330170,330170,True,33,True,cep,73,M,M,1244,202601
7428383,62700000,62700000,True,230280,230280,True,23,True,cep,73,M,M,1244,202601
7429398,60875205,60875205,True,230440,230440,True,23,True,cep,73,M,M,1031,202601
7429991,06765000,06765000,True,355280,355280,True,35,True,cep,73,M,M,1244,202601
7433867,38411186,38411186,True,317020,317020,True,31,True,cep,05,M,M,2054,202601
7434308,60312060,60312060,True,230440,230440,True,23,True,cep,73,M,M,1031,202601
7434472,63901150,63901150,True,231130,231130,True,23,True,cep,73,M,M,1244,202601
7435568,09611000,09611000,True,354870,354870,True,35,True,cep,05,M,M,2062,202601
7436734,23815541,23815541,True,330200,330200,True,33,True,cep,05,M,M,2062,202601
7437684,35860000,35860000,True,311750,311750,True,31,True,cep,36,M,M,2143,202601
7443382,43700112,43700112,True,293070,293070,True,29,True,cep,73,M,M,1244,202601
7449720,45990090,45990090,True,293135,293135,True,29,True,cep,02,M,M,1244,202601
7449968,55305000,55305000,True,261510,261510,True,26,True,cep,02,M,M,1244,202601
7453124,66613710,66613710,True,150140,150140,True,15,True,cep,05,M,M,1015,202601
7455038,35044220,35044220,True,312770,312770,True,31,True,cep,73,M,M,1244,202601
7458606,69021005,69021005,True,130260,130260,True,13,True,cep,73,E,E,1023,202601
7458940,22775002,22775002,True,330455,330455,True,33,True,cep,05,M,M,2054,202601
7459750,69640000,69640000,True,130406,130406,True,13,True,cep,05,E,E,1023,202601
7460953,63500595,63500595,True,230550,230550,True,23,True,cep,73,M,M,1244,202601
7461542,72979000,72979000,True,520551,520551,True,52,True,cep,02,M,M,1244,202601
7463820,06382260,06382260,True,351060,351060,True,35,True,cep,02,M,M,1244,202601
7465157,72225270,72225270,True,530010,530010,True,53,True,cep,73,E,E,1023,202601
7466412,13270005,13270005,True,355620,355620,True,35,True,cep,73,M,M,1244,202601
7467877,79021170,79021170,True,500270,500270,True,50,True,cep,04,M,M,3999,202601
7469144,35500485,35500485,True,312230,312230,True,31,True,cep,73,M,M,1244,202601
7470371,69373000,69373000,True,140047,140047,True,14,True,cep,05,E,E,1236,202601
7471777,13467000,13467000,True,350160,350160,True,35,True,cep,73,M,M,1244,202601
7473702,08740320,08740320,True,353060,353060,True,35,True,cep,05,M,M,1244,202601
7474059,22061080,22061080,True,330455,330455,True,33,True,cep,05,M,M,2054,202601
7474148,32315000,32315000,True,311860,311860,True,31,True,cep,36,M,M,2054,202601
7474385,48500000,48500000,True,291070,291070,True,29,True,cep,02,M,M,1244,202601
7474423,68745000,68745000,True,150240,150240,True,15,True,cep,73,M,M,1244,202601
7476469,41300470,41300470,True,292740,292740,True,29,True,cep,73,M,M,1244,202601
7479387,05846420,05846420,True,355030,355030,True,35,True,cep,73,M,M,1031,202601
7481624,57607520,57607520,True,270630,270630,True,27,True,cep,73,M,M,1031,202601
7486618,65505000,65505000,True,210010,210010,True,21,True,cep,05,M,M,1244,202601
7492359,95045118,95045118,True,430510,430510,True,43,True,cep,73,M,M,1244,202601
7494068,08588050,08588050,True,352310,352310,True,35,True,cep,73,M,M,1244,202601
7498233,35701877,35701877,True,316720,316720,True,31,True,cep,73,M,M,1244,202601
7498810,55100000,55100000,True,260410,260410,True,26,True,cep,05,E,E,1023,202601
7502230,56420000,56420000,True,260392,260392,True,26,True,cep,72,M,M,1015,202601
7503253,29845000,29845000,True,320100,320100,True,32,True,cep,02,M,M,1244,202601
7503407,59198000,59198000,True,240770,240770,True,24,True,cep,73,M,M,1244,202601
7506236,78440000,78440000,True,510890,510890,True,51,True,cep,02,M,M,1244,202601
7507631,35455080,35455080,True,313190,313190,True,31,True,cep,73,M,M,1244,202601
7511833,79985970,79985970,True,500480,500480,True,50,True,cep,02,M,M,1244,202601
7513151,91796000,91796000,True,431490,431490,True,43,True,cep,05,M,M,3999,202601
7514948,60714230,60714230,True,230440,230440,True,23,True,cep,73,M,M,1031,202601
7515200,24020090,24020090,True,330330,330330,True,33,True,cep,39,M,M,2046,202601
7517998,60876350,60876350,True,230440,230440,True,23,True,cep,02,M,M,1031,202601
7518846,45653610,45653610,True,291360,291360,True,29,True,cep,05,D,D,3999,202601
7520972,58040300,58040300,True,250750,250750,True,25,True,cep,05,M,M,2143,202601
7521316,40010010,40010010,True,292740,292740,True,29,True,cep,73,M,M,1244,202601
7522533,06415000,06415000,True,350570,350570,True,35,True,cep,20,M,M,1244,202601
7522738,06700650,06700650,True,351300,351300,True,35,True,cep,73,M,M,1244,202601
7529368,75133450,75133450,True,520110,520110,True,52,True,cep,73,M,M,1244,202601
7529384,28994621,28994621,True,330550,330550,True,33,True,cep,05,E,E,1023,202601
7530005,68020650,68020650,True,150680,150680,True,15,True,cep,73,M,M,1244,202601
7530684,69911114,69911114,True,120040,120040,True,12,True,cep,73,E,E,1023,202601
7530706,29114350,29114350,True,320520,320520,True,32,True,cep,05,E,E,1023,202601
7532024,75800021,75800021,True,521190,521190,True,52,True,cep,05,E,E,3999,202601
7533403,80520070,80520070,True,410690,410690,True,41,True,cep,36,M,M,3999,202601
7533446,91360340,91360340,True,431490,431490,True,43,True,cep,02,M,M,1244,202601
7536836,45645000,45645000,True,291660,291660,True,29,True,cep,02,M,M,1244,202601
7540868,69900970,69900970,True,120040,120040,True,12,True,cep,73,E,E,1023,202601
7541228,85983071,85983071,True,410880,410880,True,41,True,cep,73,M,M,1244,202601
7543913,37270000,37270000,True,311120,311120,True,31,True,cep,73,M,M,1244,202601
7544529,11460202,11460202,True,351870,351870,True,35,True,cep,05,E,E,1023,202601
7546696,11533480,11533480,True,351350,351350,True,35,True,cep,73,M,M,1244,202601
7546777,79830020,79830020,True,500370,500370,True,50,True,cep,73,M,M,1279,202601
7549156,84051000,84051000,True,411990,411990,True,41,True,cep,73,M,M,1244,202601
7550049,12228000,12228000,True,354990,354990,True,35,True,cep,73,M,M,1244,202601
7550901,98780800,98780800,True,431720,431720,True,43,True,cep,73,M,M,1155,202601
7550944,24800205,24800205,True,330190,330190,True,33,True,cep,05,M,M,3999,202601
7551177,59140020,59140020,True,240325,240325,True,24,True,cep,50,M,M,1244,202601
7556586,60175295,60175295,True,230440,230440,True,23,True,cep,82,E,E,1023,202601
7557523,29216805,29216805,True,320240,320240,True,32,True,cep,05,D,D,3999,202601
7561792,58064090,58064090,True,250750,250750,True,25,True,cep,73,M,M,1244,202601
7563701,68627452,68627452,True,150550,150550,True,15,True,cep,05,E,E,1023,202601
7564546,69093415,69093415,True,130260,130260,True,13,True,cep,05,E,E,1023,202601
7564902,14801150,14801150,True,350320,350320,True,35,True,cep,05,M,M,2054,202601
7566832,14185164,14185164,True,354020,354020,True,35,True,cep,85,M,M,1244,202601
7568371,39400110,39400110,True,314330,314330,True,31,True,cep,36,M,M,2062,202601
7569831,29900380,29900380,True,320320,320320,True,32,True,cep,50,M,M,1244,202601
7570546,72912651,72912651,True,520025,520025,True,52,True,cep,02,M,M,1244,202601
7572182,02031100,02031100,True,355030,355030,True,35,True,cep,04,M,M,2054,202601
7573162,13201046,13201046,True,352590,352590,True,35,True,cep,05,E,E,1023,202601
7580126,26220098,26220098,True,330350,330350,True,33,True,cep,05,M,M,2062,202601
7581467,29056310,29056310,True,320530,320530,True,32,True,cep,07,E,E,2143,202601
7584164,58040903,58040903,True,250750,250750,True,25,True,cep,36,E,E,1023,202601
7584717,89610000,89610000,True,420670,420670,True,42,True,cep,73,M,M,1244,202601
