cnes_codigo,municipio_codigo_6,municipio_nome,uf_sigla,latitude,longitude,centroide_lat,centroide_lon,spatial_resolution_final,spatial_source,geocode_quality,dist_km_to_expected_municipio,candidate_downgrade_to_municipio
2374633,240630,Lagoa de Pedras,RN,-15.8032581,-47.8854767,-6.19243174402639,-35.4508288972091,cep,nominatim_cep,aproximado_por_cep,1726.0313418068001,True
2423200,280670,São Cristóvão,SE,-23.4647655,-46.8584264,-10.962222297280087,-37.220432314952916,cep,nominatim_cep,aproximado_por_cep,1724.8403282202269,True
2374498,240660,Lagoa Salgada,RN,-15.8032581,-47.8854767,-6.147191367485176,-35.50504015080339,cep,nominatim_cep,aproximado_por_cep,1724.5919404240392,True
2356694,250320,Cabedelo,PB,-15.8032581,-47.8854767,-7.027739274782233,-34.84756893808357,cep,nominatim_cep,aproximado_por_cep,1722.4491197723019,True
7503407,240770,Montanhas,RN,-15.8032581,-47.8854767,-6.504924309308615,-35.29092363123823,cep,nominatim_cep,aproximado_por_cep,1718.1248547926846,True
3009564,240770,Montanhas,RN,-15.8032581,-47.8854767,-6.504924309308615,-35.29092363123823,cep,nominatim_cep,aproximado_por_cep,1718.1248547926846,True
2375052,240770,Montanhas,RN,-15.8032581,-47.8854767,-6.504924309308615,-35.29092363123823,cep,nominatim_cep,aproximado_por_cep,1718.1248547926846,True
4013042,240530,Januário Cicco,RN,-15.8032581,-47.8854767,-6.152456717494759,-35.60003899287842,cep,nominatim_cep,aproximado_por_cep,1716.1272117215035,True
3726401,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2400065,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2400243,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2399717,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
3398315,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2756188,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
3001377,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
2399644,250750,João Pessoa,PB,-15.8032581,-47.8854767,-7.165461049386194,-34.86952559862499,cep,nominatim_cep,aproximado_por_cep,1711.5930541607606,True
